ID, ﻿Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
65 , AMARYLLIDACEAE,Agave,angustifolia ,Pursh.,Mescal Bacanora,,"Native Seed Search The Botanic Garden of Smith College Northampton, MA  01063",,1994,,,
66 , AMARYLLIDACEAE,Nothoscordum,bivalve ,(L.) Britt.,,,,,1998,G. Fritz,,
67 , ANACARDIACEAE,Mangifera,,sp. L.,Mango,,"Trader Joe's, Brentwood, Missouri",,11/2008,C. Cagnato,,
68 , ANACARDIACEAE,Choerospondias,axillaris,,Nepali hog plum,,,,2010,R. Spengler,,
69 , ANACARDIACEAE,Pistacia,lentiscus,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
70 , ANACARDIACEAE,Pistacia,terebinthus,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
71 , ANACARDIACEAE,Schinus,molle,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
72 , ANCARDIACEAE,Rhus,aromatica,Ait.,Fragrant sumac,,,,,C. Erickson,,
73 , ANCARDIACEAE,Rhus,aromatica,Ait.,Fragrant sumac,,"St. Francois State Park, MO",,1985,L.W. Blake,,
74 , ANCARDIACEAE,Rhus,copallina,L.,,,"The Botanic Garden of Smith College. Northampton, MA  01063. collected at Whately, MA",,,,,
75 , ANCARDIACEAE,Rhus,copallina,L.,Shining Sumac,carbonized wood," Edmonson, Co., KY",,7/13/80,G.E. Wagner,,
76 , ANCARDIACEAE,Rhus,copallina L. var. latifolia Engler,L.,Shining Sumac,,"Hawn State Park, MO",,1985,L.W. Blake,,
77 , ANCARDIACEAE,Rhus,copallina L. var. latifolia Engler,L.,,,"Bowman's Hill Wildflower Preserve  New Hope, PA collected at Delhaus Woods at Silver Lake Nature Center.  Bucks Co., PA",,1997,G.J. Fritz,,
78 , ANCARDIACEAE,Rhus,glabra,L.,,,W.J. Beal Botanical Garden MI State Univ. collected at Wampler's Lake,,,,,
79 , ANCARDIACEAE,Rhus,glabra,L.,Smooth sumac,carbonized wood,,,5/4/83,D.B. Epstein,,
80 , ANCARDIACEAE,Rhus,glabra,L.,Smooth sumac,,"Butler Co., KY",,1978,G.E. Wagner,,
81 , ANCARDIACEAE,Rhus,typhina,L.,,,"Bowman's Hill Wildflower Preserve  New Hope, PA collected at Burlington Co., NJ",,1997,G.J. Fritz,,
82 , ANCARDIACEAE,Rhus,typhina,L.,,,"Botanical Garden of Smith College Northampton, MA  01063.  collected at Hatfield, MA",,1997,G.J. Fritz,,
83 , ANCARDIACEAE,Rhus,typhina,L.,Staghorn sumac,,"(planted).  Laumeier Co. Park, St. Louis, Co., MO",,1985,L.W. Blake,,
84 , ANCARDIACEAE,Schinus,molle,L.,,,"Diomides Botanic Garden, Greece",,,,,
85 , ANCARDIACEAE,Shinus,molle,L. molle,,,"Cut near PV-74-2, Acari, Peru. carbonized and uncarbonized wood",,5/20/89,P.J. Wright,,
86 , ANCARDIACEAE,Spondias,purpura,L.,Spanish Plum,,"Managua, Nicaragua",,1977,H.C. Cutler,,
87 , ANNONACEAE,Annona,cherimola,Mill.,Chirimuya,Charred.,"Purchased in Lima, Peru",,6/2/89,P.J. Wright,,
88 , ANNONACEAE,Annona,cherimolina,Mill.,Chirimoya,,"Purchased in Lima, Peru",,6/2/89,P.J. Wright,,
89 , ANNONACEAE,Annona,cherimolla,Mill.,Custard apple,,"Teucacan, Mexico",,1977,H.C. Cutler,,
90 , ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,some charred.,From MO,,9/1996,G.J. Fritz,,
91 , ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,,,1992,M.L. Williams,,
92 , ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,"Kampsville, Calhoun Co., IL",,fall 1986,G.E. Wagner,,
93 , ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,"Centaur, St. Louis Co., MO",,1979,G.E. Wagner,,
94 , ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,(One seed specimen/ another of bark and fiber),collected from tree in Missouri Botanical Garden which was located where Lehman Bldg. now stands,,1977,H.C. Cutler,,
95 , APIACEAE,Aethusa,cynapium,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
96 , APIACEAE,Angelica,sylvestris,L.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
97 , APIACEAE,Anthriscas,sylvestris,(L.) Hoffm,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
98 , APIACEAE,Anethum,graveolens L. var. hortorum Alef.,,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
99 , APIACEAE,Apium,graveolens,L.,Celery,,Vaughan C-71,,1977,H.C. Cutler,,
100 , APIACEAE,Apium,graveolens L. var. hortorum Alef.,L.,Turnip-rooted celery,,Vaughan V.C.10,,1977,H.C. Cutler,,
101 , APIACEAE,Bupleurum,fruticosum,L.,Shrubby hare's-ear,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
102 , APIACEAE,Carum,carvi,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
103 , APIACEAE,Cnigium,silaifolium,(Jacq.),Simonk,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List.  No: 03944",,9/2002,G.J. Fritz,,
104 , APIACEAE,Coriandum,savitum,L.,Coriander,,"Nitty Gritty Store, St. Louis",,1980,G.E. Wagner,,
105 , APIACEAE,Dacus,carota,L.,Carrot,,Vaughan 3137,,1977,H.C. Cutler,,
106 , APIACEAE,Eryngium,yuccifolium,Michx.,,,"Collected at MSU Prairie Planting From W.J. Beal Botanical Garden, MI State Univ.",,1999,G.J. Fritz,,
107 , APIACEAE,Eryngium,yuccifolium,Michx.,,,"The Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
108 , APIACEAE,Eryngium,yuccifolium,Michx.,Rattlesnake master,,"Mammoth Cave National Park, KY",,1980,G.E. Wagner,,
109 , APIACEAE,Eryngium,yuccifolium,Michx.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
110 , APIACEAE,Lingusticum,porterii,,"Osha, chuchupate",,"Native Seeds Search.  Tucson, AZ   85719",,1997,G.J. Fritz,,
111 , APIACEAE,Lingusticum,scoticum ,L.,,,"The Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
112 , APIACEAE,Osmorhiza,chilensis ,H.& A.,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
113 , APIACEAE,Osmorhiza,chilensis ,H.& A.,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
114 , APIACEAE,Osmorhiza,chilensis,H.& A.,Sweet Cicely,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
115 , APIACEAE,Osmorhiza,claytonii  ,(Michx.) C.B. Clarke,,,"W.J. Beal Botanical Garden, MI State Univ.",,11/3/94,G.J. Fritz,,
116 , APIACEAE,Osmorhiza,longistylis,(Torr.)DC,,,"W.J. Beal Botanical Garden, MI State Univ.",,1/2001,G.J. Fritz,,
117 , APIACEAE,Pastinaca,sativa ,L.,Parsnip,,Vaughan Marrowfat  V.P.3,,1977,H.C. Cutler,,
118 , APIACEAE,Petroselinum,crispum  ,Nym.,Common parsley,,Vaughan V.P.2,,1977,H.C. Cutler,,
119 , APIACEAE,Pimpinella,anisum ,L.,Anise,,"Nitty Gritty Store, St. Louis",,1980,G.E. Wagner,,
120 , APIACEAE,Zizia,aurea,(L.) Koch.,,,"W.J. Beal Botanical Garden, MI State Univ. Collected at Garvey Road",,1999,G.J. Fritz,,
121 , APIACEAE,Zizia,aurea ,(L.) Koch.,,,"W.J. Beal Botanical Garden, MI State Univ. Collected at Garvey Road",,1/2001,G.J. Fritz,,
122 , APIACEAE,Zizia,aurea ,(L.) Koch.,Golden Alexanders,,"Bowman's Hill Wildflower Preserve Washington Crossing Historic Park, PA",,1995,G.J. Fritz,,
123 , APOCYNACEAE,Amsonia,hubrichtii ,Woodson,,,"The Botanic Garden of Smith College Northampton, MA    01063",,1997,G.J. Fritz,,
124 , APOCYNACEAE,Apocynum,androsaemifolium,,,,"W.J. Beal Botanical Garden, MI State Univ. from MI, Ingham county, open old Field, Bear Lake Powerline",,3/6/07,G.J. Fritz,,
125 , APOCYNACEAE,Apocynum,androsaemifolium,L.,,,"collected at litzsinger Road Ecology Center St. Louis, MO",,summer 1994,M. Williams,,
126 , APOCYNACEAE,Apocynum,cannabinum,L.,,,W.J. Beal Botanical Garden.  MI State Univ. collected at Portage Lake Prairie,,1999,G.J. Fritz,,
127 , APOCYNACEAE,Apocynum,cannabinum,L.,,,W.J. Beal Botanical Garden.  MI State Univ. collected at Portage Lake Prairie,,1/2001,G.J. Fritz,,
128 , APOCYNACEAE,Apocynum,cannabinum,L.,Indian hemp,,"St. Louis CO., MO",,1993,G.J. Fritz,,
129 , APOCYNACEAE,Apocynum,cannabinum,L.,Indian hemp,,,,1977,H.C. Cutler,,
130 , APOCYNACEAE,Rauvolfia,tetraphylla,L.,,,"The Botanic Garden of Smith College Northampton, MA    01063",,6/16/06,G.J. Fritz,,
131 , AQUIFOLIACEAE,Ilex,aquifolium,L.,,,Botanical Garden of Bonn University,,1/18/99,G.J. Fritz,,
132 , AQUIFOLIACEAE,Ilex,cassine,L.,"Dahoon, Cassena",,"Orland E. White Arboretum. Blandy Experimental Farm.  Univ. or Virginia.  Boyce, VA",,1996,G.J. Fritz,,
133 , AQUIFOLIACEAE,Ilex,decidua ,Walt.,Deciduous holly,,"St. Charles Co., MO",,1984,L.W. Blake,,
134 , AQUIFOLIACEAE,Ilex,decidua,Walt.,Deciduous holly,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
135 , AQUIFOLIACEAE,Ilex,glabra ,(L.) A. Gray,,,"Orland E. White Arboretum. Blandy Experimental Farm.  Univ. or Virginia.  Boyce, VA",,1994,G.J. Fritz,,
136 , AQUIFOLIACEAE,Ilex,laevigata ,(Pursh),,,Botanic Garden of Smith College,,11/2009,G.J. Fritz,,
137 , AQUIFOLIACEAE,Ilex,opaca,Ait.,,Seeds,Botanic Garden of Smith College,113,11/2009,G.J. Fritz,,NEEDS LABEL
138 , AQUIFOLIACEAE,Ilex,opaca,,American holly,,Botanic Garden of Smith College,,4/9/2012,G.J. Fritz,,
139 , AQUIFOLIACEAE,Ilex,opaca,Sol.,American holly,,"W. Feliciana Parish, LA",, 1985,M. Standifer,,
140 , AQUIFOLIACEAE,Ilex,verticillata ,(L.) Gray,,,W.J. Beal Botanical Garden.  MI State Univ.,,11/3/94,G.J. Fritz,,
141 , AQUIFOLIACEAE,Ilex,verticillata ,(L.) Gray,Winterberry,,,,1977,H.C. Cutler,,
142 , AQUIFOLIACEAE,Ilex,vomitoria,Aiton,"Black Drink, Cassina Tea",,Prepared by San Luis Archaeological and Historic site in Tallahassee,,2/17/92,G.J. Fritz,,
143 , AQUIFOLIACEAE,Ilex,vomitoria,Aiton,Yaupon,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
144 , AQUIFOLIACEAE,Ilex,laevigata,,Smooth Winterberry,,"Botanic Garden of Smith College Northampton, MA  01063",,4/9/12,G.J. Fritz,,
145 , AQUIFOLIACEAE,Nemopanthus,mucronatus,(L.) Trel.,,,"Botanic Garden of Smith College Northampton, MA  01063",,9/2004,G.J. Fritz,,
146 , ARACEAE,Acorus,americanus,,,,Ion Nursery,,1995,M. Williams,,
147 , ARACEAE,Acorus,calamus,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
148 , ARACEAE,Acorus,calamus,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
149 , ARACEAE,Arisaema,dracontium,(L.) Schott,,,"Botanic Garden of Smith College Northampton, MA  01063",,1999,G.J. Fritz,,
150 , ARACEAE,Arisaema,dracontium ,(L.) Schott,,,"Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
151 , ARACEAE,Arisaema,dracontium,(L.) Schott,Green dragon,,"Union Co., IL",,1977,N.L. Lopinot,,
152 , ARACEAE,Arisaema,dracontium,(L.) Schott,Green dragon,,"Botanic Garden of Smith College, Northampton, MA 01063",,4/16/07,G.J. Fritz,,
153 , ARACEAE,Arisaema,triphyllum,(L.) Torr.,,,"Botanic Garden of Smith College Northampton, MA  01063",,9/2004,G.J. Fritz,,
154 , ARACEAE,Arisaema,triphyllum ,(L.) Torr.,,,"Botanic Garden of Smith College Collected from Hampshire county, MA",,6/16/06,G.J. Fritz,,
155 , ARACEAE,Arisaema,triphyllum,(L.) Schott.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Baker Woodlot,,1999,G.J. Fritz,,
156 , ARACEAE,Arisaema,triphyllum,(L.) Schott.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Baker Woodlot,,1/2001,G.J. Fritz,,
157 , ARACEAE,Arisaema,triphyllum,,,,"Botanic Garden of Smith College Northampton, MA.  Collected at Whately, MA",,1998,G.J. Fritz,,
158 , ARACEAE,Arisaema,triphyllum,(L.) Schott,Jack-in-the-pulpit,,"Ann Arbor, MI",,1990,G.J. Fritz,,
159 , ARACEAE,Arum,maculatum,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
160 , ARACEAE,Calla,palustris,L.,,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List",,9/2002,G.J. Fritz,,
161 , ARACEAE,Orontium,aquaticum ,L.,,,"Botanic Garden of Smith College Northampton, MA",,1998,G.J. Fritz,,
162 , ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List",,9/2002,G.J. Fritz,,
163 , ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,"Botanic Garden of Smith College Northampton, MA",,1998,G.J. Fritz,,
164 , ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,W.J. Beal Botanical Garden.  MI State Univ.,,10/5/94,G.J. Fritz,,
165 , ARACEAE,Sauromatum,venosum,(Ait.)Kth.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
166 , ARACEAE,Sauromatum,venosum ,(Ait.)Kth.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
167 , ARACEAE,Symplocarpus,foetidus,(L.)Nutt.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Sycamore Creek Natural Area,,1999,G.J. Fritz,,
168 , ARACEAE,Symplocarpus,foetidus ,(L.)Nutt.,,,W.J. Beal Botanical Garden.  MI State Univ.,,1/2001,G.J. Fritz,,
169 , ARALIACEAE,Aralia,chinensis,,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
170 , ARALIACEAE,Aralia,cordata ,Thunb. F. sachalinensis,,Seeds,"Botanic Garden of Smith College.  Northampton, MA",117,11/2009,G.J. Fritz,,NEEDS LABEL
171 , ARALIACEAE,Aralia,medicaulis,L.,,,"Botanic Garden of Smith College.  Northampton, MA",,9/2004,G.J. Fritz,,
172 , ARALIACEAE,Aralia,racemosa ,L.,Spikenard,,"Pickle Springs, Ste. Genevieve Co., MO",,1986,L.W. Blake,,
173 , ARECACEAE,Chamaerops,humilis,L.,,,"Diomides Botanic Garden, Greece",,2001,G.J. Fritz,,
174 , ARECACEAE,Chamaerops,humilis,L.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
175 , ARECACEAE,Livistona,chinensis,Jacq. r. Br. Ex Mart,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
176 , ARECACEAE,Phoenix,dactylifera,L.,Date palm,,,,1977,H.C. Cutler,,
177 , ARECACEAE,Phoenix,dactylifera ,L.,Date palm,,"Soulard Market.  St. Louis, MO",,1977,G.E. Wagner,,
178 , ARECACEAE,Sabal,minor,Jacq. Pers.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
179 , ARECACEAE,Sabal,minor,Jacq. Pers.,Palmetto,,"Tensas Parish, LA",,1990,G.J. Fritz,,
180 , ARECACEAE,Salacca,edulis,,"Salak, Snake fruit",,"Airport Fruit Stand, Chengdu, China",,1/2010,R. Spengler,,
181 , ARECACEAE,Serenoa,repens ,Bartr./Small,Saw Palmetto,,"Lexington, KY  Food Coop.",,1990,M. Scarry,,
182 , ARECACEAE,Trachycarpus,fortunei,Hook/Wend.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
183 , ARECACEAE,Washingtonia,filifera,Lindl. ex Andre/H. Wendl,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
184 , ARISTOLOCHIACEAE,Aristolochia,debilis,,,,"Market in Kunming, Yunnan",,8/6/11,R. Spengler,,
185 , ARISTOLOCHIACEAE,Aristolochia,tomentosa ,Sims.,Pipe vine,,"Butler Co., KY",,1977,G.E. Wagner,,
186 , ARISTOLOCHIACEAE,Aristolochia,wrightii ,Seem.,,,"Chihuahua, Mexico.  Collected on or near Cerro  Juanaquena.  Identified by Karen Adams",,9/4/98,G.J. Fritz,,
187 , ASCLEPIADACEAE,Asclepias,,sp.,Milkweed,,"Dallas, TX",,1988,G.J. Fritz,,
188 , ASCLEPIADACEAE,Asclepias,incarnata ,L.,Swamp milkweed,,"Greene Co., OH",,1981,G.E. Wagner,,
189 , ASCLEPIADACEAE,Asclepias,syriaca ,L. (W),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
190 , ASCLEPIADACEAE,Asclepias,quadrifolia ,Jacq.(H),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
191 , ASTERACEAE,achillea,millefolium ,L.,,,"Botanical Gardens of Bonn University, Germany",,9/22/08,G.J. Fritz,,
192 , ASTERACEAE,Ambrosia,trifida,L.,Giant ragweed,,"St. Charles Co., MO",,1988,L.W. Blake,,
193 , ASTERACEAE,Anthemis,arvensis,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/05,G.J. Fritz,,
194 , ASTERACEAE,Arctium,minus ,(Hill.) Bernh.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
195 , ASTERACEAE,Arnica,chamissonis ,Less.,,,"Botanical Gardens of Bonn University, Germany",,1/18/99,G.J. Fritz,,
196 , ASTERACEAE,Arnica,nevadensis ,A.Gray,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
197 , ASTERACEAE,Artemisia,tridentata,,Big Sage,,"Plants of the Southwest.  Santa Fe, NM 87501",,1999,G. Powell,,
198 , ASTERACEAE,Aster,divaricatus ,L. (W),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
