Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
BRASSICACEAE,Lepidium,latifolium ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
BRASSICACEAE,Lepidium,savitum,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
BRASSICACEAE,Lepidium,savitum ,L.,Curled garden cress,,Vaughan 3287,,1977,H.C. Cutler,,
BRASSICACEAE,Lepidium,virginicum ,L.,Peppergrass,,"Washington University outside Old McMillan Hall St. Louis, MO",,6/1994,G.J. Fritz,,
BRASSICACEAE,Lepidium,virginicum,L.,Peppergrass,,"Missouri Botanical Garden.  St. Louis, MO",,1977,H.C. Cutler,,
BRASSICACEAE,Lesquerella,gordonii,,,,W.J. Beal Botanical Garden. MI State Univ. Collected Near Table Top Mountain,,3/1/06,G.J. Fritz,,
BRASSICACEAE,Nasturtium,officinale ,R. Br.,,,"Fayetteville, AR",,6/4/02,,,
BRASSICACEAE,Raphanus,sativus ,L.,Early scarlet globe,,"St. Louis, MO",,1980,G.E. Wagner,,
BRASSICACEAE,Raphanus,sativus ,L.,Early scarlet globe,,Vaughan 3682,,1977,H.C. Cutler,,
BRASSICACEAE,Raphanus,sativus ,L.,Long seasons mix.,,Vaughan 261,,1977,H.C. Cutler,,
BRASSICACEAE,Raphanus,sativus ,L.,Icicle radish,,Vaughan VR6,,1977,H.C. Cutler,,
BRASSICACEAE,Raphanus,sativus longipinnatus,L. var. Bail.,Chinese mammoth radish,,Vaughan 2360,,1977,"H.C. Cutler, G.J. Fritz",,
BRASSICACEAE,Raphanus,sativus ,L. var. Minowase,Dikon radish,,Lake Valley Seed (Commercial var.),,2002,D. Kaufmann,,
BRASSICACEAE,Sinapis,arvensis,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
BRASSICACEAE,Sisymbrium,austriacum ,Jacq.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
BRASSICACEAE,Sisymbrium,loeselii ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
BRASSICACEAE,Sisymbrium,officinale ,(L.) Scop.,,,"Botanical Gardens at University of Leipzig, Germany Collected at Leipzip-Eutritzsch, Sachsen, Germany",,1998,G.J. Fritz,,
BRASSICACEAE,Sisymbrium,strictissimum,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
BRASSICACEAE,Sisymbrium,strictissimum,L.,,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
BRASSICACEAE,Stanlea,pinnata,(Pursh)  N.L. Britt.,Desert Plume,,,,1977,H.C. Cutler,,
BRASSICACEAE,Thlaspi,arvense ,L.,Field pennycress,,,,1977,H.C. Cutler,,
BROMELIACEAE,Tillandsia,usneoides,L.,Spanish moss,,"Tensas Parish, LA",,1990,G.J. Fritz,,
BUXACEAE,Simmondsia,chinensis ,(Link.) Schneid,"Jojoba, Goat-nut, Coffeeberry",,"Tucson, AZ",,1977,H.C. Cutler,,
BUXACEAE,Simmondsia,chinensis ,(Link.) Schneid,"Jojoba, Goat-nut, Coffeeberry",,"Tucson, AZ",,1977,H.C. Cutler,,
BUXACEAE,Simmondsia,chinensis ,(Link.) Schneid,"Jojoba, Goat-nut, Coffeeberry",,"Plants of the Southwest.  Santa Fe, NM",,1999,G. Powell,,
CACTACEAE,Carnegiea,gigantea,,,,W.J. Beal Botanical Garden. MI State Univ. Collected in Sonoran Desert near San Xavier Mission,,3/1/06,G.J. Fritz,,
CACTACEAE,Echinocactus,grusonii ,Hildm.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
CACTACEAE,Echinocactus,grusonii ,,,Seeds,Botanic Garden of Smith College,252,2014,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Echinocactus,texensis,,Barrel Cactus,,"Univ. of Arizona campus.  Tucson, AZ",,3/19/00,G.J. Fritz,,
CACTACEAE,Echinocereus,reichenbachii var. baileyi ,(rose) N.P. Tayl.,,,"Botanic Garden of Smith College Northampton, MA  01063",,4/16/07,G.J. Fritz,,
CACTACEAE,Echinopsis,sp.,Zucc.,Hedgehog cactus,,,,,C. Erickson,,
CACTACEAE,Epiphyllum,anguliger,(Lem.) D. Don,,Seeds,Botanic Garden of Smith College,184,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Epithelantha,micromeris ,(Engelm.)  A. Weber,,,Botanic Garden of Smith College,185,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Ferocactus,wislizeni,,,,W.J. Beal Botanical Garden. MI State Univ. Near Table Top Mountain,,3/1/06,G.J. Fritz,,
CACTACEAE,Frailea,gracillima ,(Lem.) Britt. & Rose ssp.,,,,,,,,
CACTACEAE,Frailea,pygmaea ,(Speg.) Br.& R.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CACTACEAE,Gymnocalycium,spegazzinii ,Br. & R.,,,"Botanic Garden of Smith College Northampton, MA  01063",,4/16/07,G.J. Fritz,,
CACTACEAE,Hylocereus,costaricensis ,(F.A.C. Weber) Britton & Rose,Dragon Fruit,,"Trader Joe's, Brentwood, Missouri",,11/2008,C.Cagnato,,
CACTACEAE,Hylocereus,monacanthus,(Lem.) Britt. & Rose,,Seeds,Botanic Garden of Smith College,186,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Lepismium,ianthothele,(Monv.),,,Botanic Garden of Smith College,187,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Mammillaria,crinita,v,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CACTACEAE,Mammillaria,geminispina ,Haw.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CACTACEAE,Mammillaria,glochidiata,Mart.,,,Botanic Garden of Smith College,188,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Mammillaria,sp. ,Haw.,,,,,,C. Erickson,,
CACTACEAE,Mammillaria,nana ,Backeberg ex Mottram,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
CACTACEAE,Mammillaria,prolifera  Var. texana,(P. Miller) Haw.  (Engelm.) Krainz,,,"Botanic Garden of Smith College Northampton, MA .",,1999,G.J. Fritz,,
CACTACEAE,Mammillaria,prolifera  ssp. Texensis,(Miller) Haw.  (Engelm.) Hunt,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CACTACEAE,Mammillaria,prolifera,,,Seeds,"Botanic Garden of Smith College Northampton, MA  01063",189,,,,NEEDS LABEL
CACTACEAE,Mammillaria,rekoi var. aureispina,(Br. & R.) Vaupel (A.B. Lau) D.R. Hunt,,Seeds,Botanic Garden of Smith College,190,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Mammillaria,wiesingeri,Boedeker,,Seeds,Botanic Garden of Smith College,191,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Opuntia,sp.,,prickly pear,,"Denny's, Roswell, MM.  Poss. Cultivated form.",,,G. Powell,,
CACTACEAE,Opuntia,sp. ,Mill.,Mexican species,,Berkely Botanical Garden,,,C. Erickson,,
CACTACEAE,Opuntia,ficus indica, Mill.,,,"Arboretum Trsteno.  Hrvatska, Croatia, Europe",,1999,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,"Botanic Garden of Smith College Northampton, MA .",,11/2002,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Thornapple Rd. Bowl,,1999,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,"Botanic Garden of Smith College Northampton, MA .",,1997,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,prickly pear,,"St. Louis Co., MO",,1980,G.E. Wagner,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,"St. Louis Co., MO",,1988,L.W. Blake,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,W.J. Beal Botanical Garden. MI State Univ.,,,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,,,Collected at Thornapple Rd. Bowl,,1/2001,G.J. Fritz,,
CACTACEAE,Opuntia,humifusa ,(Raf.)Raf.,prickly pear,,"Botanic Garden of Smith College Northampton, MA .",,6/16/06,G.J. Fritz,,
CACTACEAE,Parodia,concinna,(Monv.) N.P. Tayl,,,Botanic Garden of Smith College,192,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Rebutia,pygmaea ,(Fries) Brit. & Rose,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CACTACEAE,Rebutia,pygmaea ,(Fries) Brit. & Rose,,,"Botanic Garden of Smith College Northampton, MA  01063",,4/16/07,G.J. Fritz,,
CACTACEAE,Rhipsalis,baccifera ,(J.F. Mill) W.T. Stearn,,,"Botanic Garden of Smith College Northampton, MA  01063",194,6/16/06,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Rhipsalis,micrantha,(Kunth) DC,,Seeds,Botanic Garden of Smith College,195,4/2011,G.J. Fritz,,NEEDS LABEL
CACTACEAE,Rhipsalis,pilosa ,Web.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
CACTACEAE,Rhipsalis,pilocarpa ,Loefgr.,,,"Botanic Garden of Smith College Northampton, MA .",,5/2001,G.J. Fritz,,
CACTACEAE,Selenicereus,wittii,,,Seeds,"Botanic Garden of Smith College, Northampton, MA.",196,,,,NEEDS LABEL
CACTACEAE,Selenicereus,sittii,(Schum.) G. Rowley,,,Botanic Garden of Smith College,,4/2011,G.J. Fritz,,
CAESALPINIACEAE,Caesalpinia,gillesii ,/Hook./Wall.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
CAESALPINIACEAE,Caesalpinia,pulcherrima,(L.) Swartz,,,"Botanic Garden of Smith College Northampton, MA .",,11/2002,G.J. Fritz,,
CAESALPINIACEAE,Caesalpinia,pulcherrima ,(L.),Red bird of paradise,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
CAESALPINIACEAE,Cassia,hebecarpa,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/1/06,G.J. Fritz,,
CAESALPINIACEAE,Cassia,roemeriana,,Fireweed,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
CAESALPINIACEAE,Cercis,canadensis ,L.,Eastern Redbud,,"Botanic Garden of Smith College Northampton, MA .",,1994,G.J. Fritz,,
CAESALPINIACEAE,Cercis,canadensis,L.,Redbud,,"From front yard of 840 Berick Dr. University City,  St. Louis Co., MO",,4/9/88,L.W. Blake,,
CAESALPINIACEAE,Cercis,canadensis ,L.,Redbud,,"St. Louis, MO",,1977,H.C. Cutler,,
CAESALPINIACEAE,Cercis,chinensis ,Bunge.,Chinese redbud,,"Botanic Garden of Smith College Northampton, MA .",,1994,G.J. Fritz,,
CAESALPINIACEAE,Chamaecrista,fasciculata,(Michx.) Greene,Partridge pea,,"St. Louis Co., MO",,1976,G.E. Wagner,,
CAESALPINIACEAE,Gleditsia,intermis ,C. (Pursh) Schneider.,Thornless Honey Locust,,"N. side Delmar btwn Inner Belt & Price Rd. University City,  St. Louis Co., MO",,10/28/89,L.W. Blake,,
CAESALPINIACEAE,Gleditsia,triacanthos ,L.,Honey Locust,,"Sheffield Seed Co.  Locke, NY 13092",,1995,M. Williams,,
CAESALPINIACEAE,Gleditsia,triacanthos,L.,Honey Locust,,"Ann Arbor, MI",,1989,G.J. Fritz,,
CAESALPINIACEAE,Gleditsia,triacanthos ,L. f.  inermis (Pursh.) Schneider,,,"St. Louis Co., MO",,1989,L.W. Blake,,
CAESALPINIACEAE,Gymnocladus,dioica,,Kentucky coffee tree,,W.J. Beal Botanical Garden. MI State Univ.,,3/3/06,G.J. Fritz,,
CAESALPINIACEAE,Gymnocladus,dioica ,(L.) K. Koch,Kentucky coffee tree,,Coll. by undergrad Erica Collier from aunt's yard,,spring 94,,,
CAESALPINIACEAE,Gymnocladus,dioica ,(L.) K. Koch,Kentucky coffee tree,,"Coll. Castlewood State Park.  St. Louis Co., MO",,12/1/88,L.W. Blake,,
CAESALPINIACEAE,Senna,bauhmiodes ,Gray.,,,"Chihuahua, Mexico.  Coll. On or near Cerro Juanaquena.  Identified by Karen Adams",,9/4/98,G.J. Fritz,,
CAESALPINIACEAE,Senna,marilandica,(L.)Link,wild senna,,"St. Charles Co., MO",,1983,L.W. Blake,,
CAESALPINIACEAE,Senna,obtusifolia,(L.),Sickelpod,,"Donated by LSU Agricultural Research Station St. Joseph, LA",,2/14/91,G.J. Fritz,,
CAESALPINIACEAE,Senna,obtusifolia,(L.) H. Irwin & Barnab.,Sickelpod,,Southern Weed Science Society,,1991,G.J. Fritz,,
CAESALPINIACEAE,Tamarindus,indica,,,,purchased from Jay International Foods.  St. Louis,,4/7/01,G.J. Fritz,,
CAMPANULACEAE,Campanula,rotundifolia,,Bluebells of Scotland,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
CAMPANULACEAE,Jasione,Laevis ,Lam.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,cardinalis,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,cardinalis,L.,Cardinal flower,,"Missouri Wildflower Nursery.  Jefferson City, MO",,6/1994,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,erinus ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,inflata,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,1997,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,puberula ,Michx.,"downy lobelia, purple dewdrop",,"Bowman's Hill Wildflower Preserve.  New Hope, PA",,1997,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,siphilitica ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,11/3/94,G.J. Fritz,,
 CAMPANULACEAE,Lobelia,siphilitica ,L.,Blue cardinal flower,,"From a tributary of Bear Creek in Columbia. Boone Co., MO.  Collected by Gary Kula",,3/28/94,L.W. Blake,,
 CAMPANULACEAE,Lobelia,siphilitica ,L.,,Seeds,"Universität Leipzig, Fachbereich Biowissenschaften, Botanischer Gartenn, Leipzig Germany",1009,1997,G.J. Fritz,,NEEDS LABEL
CANNABACEAE,Cannabis,sativa ,L. Hemp.,,,"Toasted snack seed.  Shigatse Market, Tibet",,5/2002,S. Walshaw,,
CANNABACEAE,Cannabis,sativa ,L. Hemp.,"Hemp, Marijuana",Seeds,"Chinatown, San Francisco",,5/2011,R. Spengler,,NEEDS LABEL
CANNABACEAE,Cannabis,sativa ,L. Hemp.,Marijuana,,,,1977,H.C. Cutler,,
CANNABACEAE,Humulus,scandens,,,,"China, Pixian field edge",,12/2010,R. Spengler,,
CANNACEAE,Canna,edulis ,Ker-Gawl.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
CANNACEAE,Canna,flaccida ,Salisb.,Canna,,cultivated form,,1977,H.C. Cutler,,
CANNACEAE,Canna,generalis,,,,"Western New York, Rob's garden",,Fall 2010,R. Spengler,,
CANNACEAE,Canna,indica ,L.,Indian shot canna,,Missouri Botanical Garden.  St. Louis,,1977,H.C. Cutler,,
CANNACEAE,Canna,iridiflora,Ruiz & Pavon,,Seeds,Botanic Garden of Smith College,198,4/2011,G.J. Fritz,,NEEDS LABEL
CANNACEAE,Canna,iridiflora,,,Seeds,Botanic Garden of Smith College,258,2014,G.J. Fritz,,NEEDS LABEL
CAPPARACEAE,Cleome,sp. ,L.,Beeweed,,,,1992,M. Williams,,
CAPPARACEAE,Cleome,sp.,L.,Ornamental cleome,,,,1977,H.C. Cutler,,
CAPPARACEAE,Cleome,lutea , Hook,Yellow bee plant,,"Oak Cr., AZ.  Col. Iltis 61",,1977,H.C. Cutler,,
CAPPARACEAE,Polanisia,trachysperma,Torr. & A. Gray,,,"Botanical Garden of Bonn University, Germany",,9/2002,G.J. Fritz,,
CAPPARACEAE,Polanisia,sp.,,,,"Collected at Litzsinger Road Ecology Center St. Louis, MO",,1995,M. Williams,,
CAPRIFOLIACEAE,Sambucus,caerulea ,Raf., ,,"Hoyt Arboretum.  Portland, OR. Collected at Mutnomah Co., OR",,1997,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,callicarpa ,Greene,,,"Hoyt Arboretum.  Portland, OR. Collected at Mutnomah Co., OR",,1997,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,canadensis,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/14/94,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,canadensis,L.,Elderberry,,,,1977,H.C. Cutler,,
CAPRIFOLIACEAE,Sambucus,canadensis,L.,Elderberry,,"Dupo, St. Clair Co., IL",,1976,G.E. Wagner,,
CAPRIFOLIACEAE,Sambucus,ebulus,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,nigra,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,racemosa,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,7/21/94,G.J. Fritz,,
CAPRIFOLIACEAE,Sambucus,racemosa,L.,Red-berried elder,,"Emmet Co., MI",,1990,L.W. Blake,,
CAPRIFOLIACEAE,Symphoricarpus,albus,(L.) Blake,,,W.J. Beal Botanical Garden. MI State Univ.,,11/4/94,G.J. Fritz,,
CAPRIFOLIACEAE,Symphoricarpus,orbiculatus,Moench,Coralberry,,,,1977,H.C. Cutler,,
CAPRIFOLIACEAE,Symphoricarpus,orbiculatus,Moench,Coralberry,,"St. Louis Co., MO",,1971,L.W. Blake,,
CAPRIFOLIACEAE,Triosteum,auranticum ,Bickn.,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,acerifolium,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,5/2001,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,acerifolium ,L.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected at Solebury Twp., Bucks Col., PA",,1997,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,acerifolium ,L.,Maple Leaf Viburnum,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,dentatum ,L.,Southern Arrow-wood,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected at Silver Lake Nature Center.,  Bucks Co., PA",,1997,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,dilatatum,Thunb.,Catskill,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,dilatatum ,Thunb.,Erie,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,lentago,L.,Nannyberry,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,lentago ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/4/94,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,nudum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,opulus,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/19/94,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,opulus ,L.,High-bush cranberry,,"Emmet Co., MI",,1986,L.W. Blake,,
CAPRIFOLIACEAE,Viburnum,orientale,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,prunifolium ,L.,Black Haw,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,rufidulum ,Raf.,Southern black haw,,"Beside main entrance to Babler State Park. St. Louis Co., MO",,9/17/78,L.W. Blake,,
CAPRIFOLIACEAE,Viburnum,rufidulum,Raf.,Southern black haw,,"St. Louis Co., MO",,1977,L.W. Blake,,
CAPRIFOLIACEAE,Viburnum,rufidulum ,Raf.,Southern black haw,,"St. Clair Co., IL",,1978,G.E. Wagner,,
CAPRIFOLIACEAE,Viburnum,sargentii ,Koehne,Susquehana,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,schensianum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,schensianum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,sieboldii ,Miq.,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,trilobum ,Marsh.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,trilobum ,Marsh.,American cranberry bush,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,utile,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
CAPRIFOLIACEAE,Viburnum,wrightii ,Miq.,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
CARICACEAE,Carica,papaya,L.,Papaya,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,10/2008,A. J. Landon,,
CARICACEAE,Carica,papaya,L.,Papaya,,"Col. North Pemba Island, T3, Tanzania",,7/2004,S. Walshaw,,
CARICACEAE,Carica,papaya,L.,Papaya,,"purchased at local grocery store.  St. Louis, MO",,1994,G.J. Fritz,,
CARICACEAE,Carica,papaya,L.,Papaya,,"Kroger Grocery.  St. Louis, MO",,1978,G.E. Wagner,,
CARYOPHYLLACEAE,Agrostemma,githago,L.,,,"Botanical Garden of Bonn University, Germany Schweiz, Kanton Fribourgh, Brachacker bei Frasses 500m.",,9/2002,B. Moseler,,
CARYOPHYLLACEAE,Agrostemma,githago ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Arenaria,laterifolia,L.,Blunt-leaved Sandwort,,,,1977,H.C. Cutler,,
CARYOPHYLLACEAE,Arenaria,procera ,ssp. glabra Holub,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Arenaria,serpyllifolia,,,Seeds,Botanicher Garten der Universität Leipzig,334,,,,NEEDS LABEL
CARYOPHYLLACEAE,Cerastium,alpinum ,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CARYOPHYLLACEAE,Cerastium,tomentosum,L.,Dusty miller,,"Botanical Garden of Bonn University, Germany",,6/1994,G.J. Fritz,,
CARYOPHYLLACEAE,Dianthus,alpinus ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Dianthus,barbatus ,L.,Sweet william,,"Botanical Garden of Bonn University, Germany",,6/1994,G.J. Fritz,,
CARYOPHYLLACEAE,Dianthus,caryophyllus ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Dianthus,sequieri ,Vill.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
CARYOPHYLLACEAE,Gypsophila,altissima ,L.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
CARYOPHYLLACEAE,Lychnis,alpine,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Lychnis,coeli-rosa ,Desn.,Rose-of-heaven,,,,1977,H.C. Cutler,,
CARYOPHYLLACEAE,Lychnis,chalcedonica ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
CARYOPHYLLACEAE,Lychnis,flos-jovis,(L.) Desr.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
CARYOPHYLLACEAE,Lychnis,flos-jovis ,(L.) Desr.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
CARYOPHYLLACEAE,Saponaria,officinalis ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Saponaria,officinalis ,L.,"Soapwort,  Bouncing Bet",,"St. Louis Co., MO.  North side of Millbrook,  opposite Wash. U.",,6/21/80,L.W. Blake,,
CARYOPHYLLACEAE,Saponaria,officinalis,L.,"Soapwort, Bouncing Bet",,"St. Louis, MO missing 5/9/97q",,1977,H.C. Cutler,,
CARYOPHYLLACEAE,Saponaria,officinalis ,L.,"Soapwort, Bouncing Bet",,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
CARYOPHYLLACEAE,Saponaria,pamphylica,,,Seeds,"Botanic Garden of Smith College Northampton, MA  01063",148,2014,G.J. Fritz,,NEEDS LABEL
CARYOPHYLLACEAE,Scleranthus,annus,L.,Annual knawel,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,,,,,"Tuzusai, Kazakhstan",,2010,R. Spengler,,
CARYOPHYLLACEAE,Silene,alba ,(Miller) E.H. L. Krause in Sturm,White campion,,"Botanical Garden of Bonn University, Germany",,1995,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,compacta,,,,"Botanical Garden of Bonn University, Germany Georgien, Ratscha, Mamisoni-PaB, 2000m, 42°42.077 N, 43°46.310 O, A. Groger & W. Lobin 202-4, 14.8.2002",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,conoidea ,L.,,,,,1977,H.C. Cutler,,
CARYOPHYLLACEAE,Silene,frivaldszkyana,Hampe,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,laciniata,,Indian Pink,,"Plants of the Southwest.  Santa Fe, NM    87501",,1999,G. Powell,,
CARYOPHYLLACEAE,Silene,regia ,Sims,Royal catchfly,,"Missouri Wildflower Nursery.  Jefferson City, MO.",,6/1994,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,viridiflora ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
CARYOPHYLLACEAE,Silene,vulgaris,(Moench) Garcke.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
