Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
AMARANTHACEAE,Amaranthus,erythrostachys,Thell.,,,,,,,,
AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,Blonde or Golden Amaranth,,"Grown by Bill Rose, St. Joseph, MO",,1992,,,
AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,Burgandy Amaranth,,"Durango, Mexico.     Bill Rose, St. Joe., MO",,1992,,,
AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,(probably),,"Popped seeds from University City, MO market",,1992,C. Graber,,
AMARANTHACEAE,Amaranthus,hypochrondiacus  X hybrid,L.,Guarijio Indian grain,,Native Seed Search,,1991,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,San Lorenzo Amaranth,,Native Seed Search,,1991,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,hypochrondiacus X hybrid,L. ,Guarijio Indian grain,,Native Seed Search,,1990,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,San Lorenzo Amaranth,,Native Seed Search,,1990,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,powellii,S. Watson,,,"Botanical Gardens at University of Leipzig, Germany",,3/01,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/01,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Hortus Botanicus Universitatis.  Szeged, Hungaria",,1997,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,retroflexus,L.,Rought green Amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,spp.,,Tarahumara Okite,,Native Seed Search ,,10/13/06,G.J. Fritz,,
Amaranthaceae,Amaranthus,spinosus,,Spiny amaranth,Seeds,USDA GRIN,AMES2150,2023,,,
